Food Names,Food Code,Link
Fermented bamboo shoot pickle (Mesu pickle),OSR053, https://recipes.timesofindia.com/recipes/mesu-pickle/rs58459407.cms 
Sweet peach pickle (Aadoo ka achaar),OSR054, https://recipes.timesofindia.com/recipes/sweet-peach-pickle/rs58547110.cms 
Pickled mustard greens,OSR055, https://recipes.timesofindia.com/recipes/pickled-mustard-greens/rs58572422.cms 
Small onion pickle,OSR056, https://recipes.timesofindia.com/recipes/small-onion-pickle/rs58475778.cms 
Green tomato pickle (Haray tamatar ka achaar),OSR057, https://recipes.timesofindia.com/recipes/green-tomato-pickle/rs58514837.cms 
Pickled cabbage,OSR058, https://recipes.timesofindia.com/recipes/pickled-cabbage/rs53844625.cms 
Coconut pickle (Nariyal ka aachar),OSR059, https://www.betterbutter.in/recipe/17616/coconut-pickle/ 
Potato pickle (Aloo ka achaar),OSR060, https://www.vahrehvah.com/potato-pickle-recipe 
Mango murabba candy,OSR061, https://recipes.timesofindia.com/recipes/mango-murabba-candy/rs62350751.cms 
Afghani chicken,OSR062, https://www.yummytummyaarthi.com/afghan-chicken-recipe/#Ingredients_of_Afghani_Chicken 
Fish orly,OSR063, https://www.bigbasket.com/cookbook/recipes/4080/fish-orly/ 
Hariyali Fish Tikka,OSR064, https://www.shanazrafiq.com/2016/03/hariyali-fish-tikka-green-fish-tikka/  
Chicken manchurian,OSR065, https://recipes.timesofindia.com/recipes/chicken-manchurian/rs53241077.cms  
Handi chicken,OSR066, https://recipes.timesofindia.com/recipes/handi-chicken/rs75543821.cms  
Lemon chicken,OSR067, https://www.simplyrecipes.com/recipes/lemon_chicken/  
Lemon butter fish,OSR068, https://www.chewoutloud.com/easy-lemon-butter-fish-15-minutes/#jump-to-recipe  
Baked eggs in tomato sauce,OSR069, https://www.eatingwell.com/recipe/264141/baked-eggs-in-tomato-sauce-with-kale/  
Egg in a pepper,OSR070, https://www.allrecipes.com/recipe/244281/egg-in-a-pepper/  
Spinach mushroom scrambled egg (Palak mushroom bhurji),OSR071, https://www.tasteofhome.com/recipes/spinach-mushroom-scrambled-eggs/  
Corn omelet,OSR072,https://www.tasteofhome.com/recipes/fresh-corn-omelet/   
Cajun chicken,OSR073, https://www.delish.com/cooking/recipe-ideas/recipes/a46891/cajun-stuffed-chicken-recipe/  
Paaner do pyaza,OSR074, https://www.indianhealthyrecipes.com/paneer-do-pyaza-recipe/  
Cabbage manchurian (Gobi manchurian),OSR075, https://hebbarskitchen.com/dry-gobi-manchurian-recipe/  
Gobi 65,OSR076, https://hebbarskitchen.com/gobi-65-recipe-cauliflower-65/  
Paneer lababdar,OSR077, https://foodviva.com/curry-recipes/paneer-lababdar-recipe/  
Roasted cauliflower steak,OSR078, https://www.allrecipes.com/recipe/240070/roasted-cauliflower-steaks/  
Sauteed radishes with green beans,OSR079, https://www.tasteofhome.com/recipes/sauteed-radishes-with-green-beans/  
Garlic chutney/poondu chutney (Lahasun ki chutney),OSR080, https://hebbarskitchen.com/poondu-chutney-recipe-garlic-chutney/ 
Schezwan chutney,OSR081, https://hebbarskitchen.com/schezwan-sauce-recipe-schezwan-chutney/#Ingredients  
Bengal 5 Spice Blend (Panch Phoran),OSR082, https://www.tarladalal.com/panch-phoron-bengali-five-spice-41455r  
Onion chutney (Pyaaz ki chutney/Vengaya chutney),OSR083, https://foodviva.com/chutney-raita-recipes/onion-chutney-recipe/#css_fv_post_part_2  
Spicy apple chutney (Seb ki teekhi chutney),OSR084, https://thatdeliciousdish.com/sweet-and-spicy-apple-chutney/  
Dates chutney (Khajoor ki chutney),OSR085, https://www.slurrp.com/recipes/easy-dates-chutney-1611327495  
Chicken salad,OSR086, https://www.allrecipes.com/recipe/8499/basic-chicken-salad/ 
Macaroni salad,OSR087, https://sugarspunrun.com/macaroni-salad/#recipe  
Cabbage raita (Pattagobhi raita),OSR088, https://www.tarladalal.com/cabbage-raita-13487r 
Pomegranate raita (Anaar ka raita),OSR089, https://rakskitchen.net/pomegranate-raita-recipe/ 
Onion raita (Pyaaz ka raita),OSR090, https://www.indianhealthyrecipes.com/onion-raita-recipe-make-onion-raita-recipe/ 
Green chilli raita (Hari mirch ka raita),OSR091, https://recipes.timesofindia.com/recipes/green-chilly-raita/rs58823637.cms 
Kale salad,OSR092, https://www.tasteofhome.com/recipes/kale-salad/  
Spinach and paneer souffle,OSR093, https://madhurasrecipe.com/snacks/spinach-and-paneer-souffle#Ingredients  
Masala soufflé,OSR094, https://www.nerdynat.com/recipe/2019/easy-masala-souffle-inspired-by-indian-cuisine/  
Chicken and cheese souffle,OSR095, https://www.bawarchi.com/recipe/chicken-and-cheese-souffle-oetuyAjachhii.html  
Tamarind chutney (Chintapandu pachadi/Puli chutney),OSR096, https://www.indianhealthyrecipes.com/tamarind-chutney/  
Pav bhaji masala,OSR097,https://www.vegrecipesofindia.com/pav-bhaji-masala-powder-recipe/#wprm-recipe-container-136083  
Green chutney,OSR098, https://www.google.com/url?q=https://www.indianhealthyrecipes.com/green-chutney-recipe/&sa=D&source=docs&ust=1688707723362507&usg=AOvVaw1bhriaRudVcYqFp9SdaB3X  
Sago khitchdi/khichri (Sabudana khitchdi/khichri),OSR099, https://www.vegrecipesofindia.com/sabudana-khichdi-navratri-vrat-recipe/#wprm-recipe-container-138541 
Besan chilla/cheela,OSR100, https://www.vegrecipesofindia.com/besan-cheela-recipe-besan-chilla/ 
Vegetable namkeen jave,OSR101, https://vegrecipebook.com/vegetable-namkeen-jave-recipe/ 
Khakra,OSR102, https://m.recipes.timesofindia.com/recipes/khakra/rs59387001.cms 
Moong bean dosa (Pesarattu),OSR103, https://www.indianhealthyrecipes.com/andhra-pesarattu-whole-moong-dosa/#wprm-recipe-container-37280 
Methi thepla,OSR104, https://www.vegrecipesofindia.com/methi-thepla-gujarati-methi-thepla/#wprm-recipe-container-136778 
Puttu,OSR105, https://www.vegrecipesofindia.com/puttu-recipe/#wprm-recipe-container-169326 
Buckwheat pancake (Khura),OSR106, https://shobasdelight.blogspot.com/2017/11/khura-buckwheat-pancake-arunachal.html 
Quinoa khichdi,OSR107, https://pipingpotcurry.com/quinoa-khichdi/#recipe 
Khakhra chaat,OSR108, https://food.ndtv.com/recipe-healthy-khakhra-chaat-957971 
Keema pattice,OSR109, https://food.ndtv.com/recipe-keema-pattice-958110 
Banana appam,OSR110, https://food.ndtv.com/recipe-banana-appam-958021 
Veg manchurian,OSR111, https://www.indianhealthyrecipes.com/veg-manchurian-recipe/#wprm-recipe-container-37428 
Pav bhaji,OSR112, https://www.vegrecipesofindia.com/pav-bhaji-recipe-mumbai-pav-bhaji-a-fastfood-recipe-from-mumbai/ 
Rice murukku,OSR113, https://hebbarskitchen.com/rice-murukku-recipe-rice-chakli-recipe/ 
Bhel puri,OSR114, https://www.indianhealthyrecipes.com/bhel-puri/#wprm-recipe-container-49520 
Semolina dhokla (Suji/Rava dhokla),OSR115, https://www.vegrecipesofindia.com/rava-dhokla-instant-rava-dhokla/#wprm-recipe-container-138264 
Spicy corn chaat,OSR116, https://www.tarladalal.com/spicy-corn-chaat-recipe-masala-corn-snack-42142r 
Jackfruit fritters (Ponsa mulik/Kathal ka pakora),OSR118, https://www.cookwithkushi.com/ponsa-mulik-recipe/#recipe 
Banana chips (Kele ke chips),OSR119, https://www.cookwithkushi.com/banana-chips/#recipe 
Ham and bean soup,OSR120, https://cafedelites.com/ham-bean-soup/ 
Whey soup,OSR121, https://www.tarladalal.com/whey-soup--calcium-rich-recipe--35065r 
Bottle gourd soup (Lauki ka soup/shorba),OSR122, https://www.vegrecipesofindia.com/bottle-gourd-soup-recipe/ 
Baked potato soup,OSR123, https://www.allrecipes.com/recipe/12997/baked-potato-soup-i/ 
Pumpkin soup (Kaddu ka shorba),OSR124, https://hebbarskitchen.com/easy-creamy-pumpkin-soup-recipe/#recipe_card_for_pumpkin_soup_recipe 
Sweet corn soup,OSR125, https://www.indianhealthyrecipes.com/sweet-corn-soup-recipe/#Recipe_Card 
Paneer soup,OSR126, https://recipes.timesofindia.com/recipes/paneer-soup/rs57888852.cms 
Curried cauliflower soup (Pattagobhi curry ka shorba),OSR127, https://www.feastingathome.com/curried-cauliflower-soup/ 
Pearl Millet soup (Bajra soup),OSR128, https://easyindiancookbook.com/instant-pot-millet-soup/
Lemon coriander soup,OSR129, https://yourvegrecipe.com/recipe/lemon-coriander-soup-1493278758700x261824398410383360 
Garlic soup (Lahasun ka shoraba),OSR130, https://recipes.timesofindia.com/recipes/garlic-soup/rs87198248.cms 
Wheat cake,OSR131, https://www.vegrecipesofindia.com/eggless-atta-cake-recipe/ 
Mango cheesecake,OSR132, https://www.vegrecipesofindia.com/eggless-mango-cheesecake-recipe/ 
Carrot cake (Gajar ka cake),OSR133, https://www.vegrecipesofindia.com/eggless-carrot-cake-recipe/ 
Semolina cake (Suji/Rava cake),OSR134,https://www.vegrecipesofindia.com/baath-cake-recipe/  
Finger millet cake (Ragi cake),OSR135, https://www.indianhealthyrecipes.com/ragi-cake/#wprm-recipe-container-39020 
Honey cake,OSR136, https://hebbarskitchen.com/eggless-honey-cake-recipe-bakery-style/#recipe_card_for_eggless_honey_cake 
Almond cardamom cake (Badam elaichi cake),OSR137, https://www.honeywhatscooking.com/almond-cardamom-cake/ 
Tutti fruitti cake,OSR138, https://hebbarskitchen.com/eggless-tutti-frutti-cake-recipe/#recipe_card_for_eggless_tutti_frutti_cake_recipe 
Dal makhani,OSR139, https://www.vegrecipesofindia.com/dal-makhani-restaurant-style-recipe/ 
Dalma,OSR141, https://food.ndtv.com/recipe-dalma-233510 
Split bengal gram dal (Chana dal),OSR142, https://www.vegrecipesofindia.com/chana-dal-recipe-chana-dal/ 
Horsegram dal (Kulthi dal),OSR143, https://pipingpotcurry.com/horsegram-kulthi-dal/#recipe 
Panchmel dal,OSR144, https://hebbarskitchen.com/panchmel-dal-recipe-pancharatna-dal/#recipe_card_for_pancharatna_dal_recipe 
Dal dhokli,OSR145, https://foodviva.com/gujarati-recipes/dal-dhokli/#css_fv_recipe_lplacement 
Gujarati handvo,OSR146, https://hebbarskitchen.com/gujarati-handvo-recipe-mixed-dal-handvo/ 
Sev (Omapodi/Karapusa),OSR147,https://foodviva.com/snacks-recipes/sev-recipe/#css_fv_recipe_lplacement  
Papdi,OSR148, https://foodviva.com/snacks-recipes/papdi-papri-recipe/ 
Jowar dosa,OSR151, https://www.indianhealthyrecipes.com/jowar-dosa-jonna-dosa-recipe/#wprm-recipe-container-37961 
Bread roll,OSR152, https://www.indianhealthyrecipes.com/bread-roll-recipe-snacks-recipes/ 
Soya seekh kabab,OSR153, https://www.indianhealthyrecipes.com/veg-seekh-kabab-recipe-soya-kabab/#wprm-recipe-container-37680 
Classic seasoned black beans,OSR154, https://www.usapulses.org/tips/recipes/recipe/classic-seasoned-black-beans 
Maa chaane ki dal,OSR155, https://foodtrails25.com/maa-chane-di-dal/#recipe 
Garlic chickpea soup (Lahasun aur chane ka shoraba),OSR156, https://www.usapulses.org/tips/recipes/recipe/soothing-garlic-chickpea-soup 
