recipe_code_org,recipe_code,recipe_name_org,recipe_name,primarysource
7.8,ASC058,Poached Egg,Poached egg,asc_manual
7.9,ASC059,Scrambled Egg,Scrambled egg (Ande ki bhurji),asc_manual
7.1,ASC060,Baked Egg,Baked egg ,asc_manual
7.11,ASC061,Plain Omelette,Plain omelette/omlet,asc_manual
7.12,ASC062,Stuffed Egg Omelette,Stuffed egg omelette/omlet,asc_manual
7.13,ASC063,Pancakes,Pancake,asc_manual
7.14,ASC064,Keema Pancake layer,Keema pancake,asc_manual
7.15,ASC065,Vegetable pancake,Vegetable pancake,asc_manual
7.16,ASC066,Jam and Fruit pancake,Jam and fruit pancake,asc_manual
7.17,ASC067,Khoa and coconut pancake,Khoa and coconut pancake,asc_manual
8.1,ASC068,Brown stock,Brown stock,asc_manual
8.2,ASC069,Vegetable stock,Vegetable stock,asc_manual
8.3,ASC070,Chicken stock,Chicken stock,asc_manual
8.4,ASC071,White sauce ( Thin),White sauce (thin),asc_manual
8.4,ASC072,White sauce (Medium),White sauce (medium),asc_manual
8.4,ASC073,White sauce (Thick),White sauce (thick),asc_manual
8.4 a,ASC074,Cheese Sauce,Cheese sauce,asc_manual
8.4 b,ASC075,Egg Sauce,Egg sauce,asc_manual
8.4 c,ASC076,Mushroom sauce,Mushroom sauce,asc_manual
8.4 d,ASC077,Mustard Sauce,Mustard sauce,asc_manual
8.5,ASC078,Brown Sauce,Brown sauce,asc_manual
8.6,ASC079,Clear Tomato Soup,Clear tomato soup (Tamatar ka soup),asc_manual
8.7,ASC080,Lentil Soup,Lentil soup,asc_manual
8.8,ASC081,Chicken consomme (Clear chicken soup),Chicken consomme (Clear chicken soup),asc_manual
8.9,ASC082,Cream of tomato soup,Cream of tomato soup,asc_manual
8.1,ASC083,Cream of green peas,Cream of green peas soup,asc_manual
8.11,ASC084,Cream of spinach soup,Cream of spinach soup,asc_manual
8.12,ASC085,Cream of Mixed vegetable soup,Cream of mixed vegetable soup,asc_manual
8.13,ASC086,Cream of Mushroom soup,Cream of mushroom soup,asc_manual
8.14,ASC087,Chicken sweet corn soup,Chicken sweet corn soup,asc_manual
8.15,ASC088,Minestrone soup,Minestrone soup,asc_manual
8.16,ASC089,Egg drop soup,Egg drop soup,asc_manual
8.17,ASC090,Chinese cabbage and meat ball soup,Chinese cabbage and meat ball soup,asc_manual
8.18,ASC091,French Onion soup,French onion soup,asc_manual
8.19,ASC092,Hot and Sour soup,Hot and sour soup,asc_manual
8.2,ASC093,Talaumein soup,Talaumein soup,asc_manual
8.21,ASC094,Cold cucumber soup,Cold cucumber soup (Thanda kheere ka soup),asc_manual
8.22,ASC095,Cold summer garden soup,Cold summer garden soup,asc_manual
9.1,ASC096,Chapatis,Chapati/Roti,asc_manual
9.2,ASC097,Plain Parantha,Plain parantha/paratha,asc_manual
9.3,ASC098,Potato Parantha,Potato parantha/paratha (Aloo ka parantha/paratha),asc_manual
9.3.a,ASC099,Radish Parantha,Radish parantha/paratha (Mooli ka parantha/paratha),asc_manual
9.3.b,ASC100,Cauliflower Parantha,Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),asc_manual
9.3.c,ASC101,Dal Parantha,Dal parantha/paratha,asc_manual
9.3.d,ASC102,Sprouted Dal Parantha,Sprouted moong parantha/paratha,asc_manual
9.3.e,ASC103,Pea Parantha,Pea parantha/paratha (Matar ka parantha/paratha),asc_manual
9.3.f,ASC104,Keema Parantha,Keema parantha/paratha,asc_manual
9.3.g,ASC105,Paneer Parantha,Paneer parantha/paratha,asc_manual
9.4,ASC106,Besan and Spinach Parantha,Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),asc_manual
9.5,ASC107,Poories,Poori,asc_manual
9.6,ASC108,Spinach poories,Spinach poori (Palak poori),asc_manual
9.6,ASC109,Methi poories,Methi poori,asc_manual
9.7,ASC110,Dal stuffed poories,Dal stuffed poori,asc_manual
9.8,ASC111,Potato stuffed poories,Potato stuffed poori (Aloo ki poori),asc_manual
9.9,ASC112,Tandoori Parantha,Tandoori parantha/paratha,asc_manual
9.1,ASC113,BOILED RICE,Boiled rice (Uble chawal),asc_manual
9.11,ASC114,Plain Pulao,Plain pulao,asc_manual
9.12,ASC115,Mixed vegetable Pulao,Mixed vegetable pulao,asc_manual
9.13,ASC116,Mushroom Pulao,Mushroom pulao,asc_manual
9.14,ASC117,Sprouted Moong Pulao,Sprouted moong pulao,asc_manual
9.15,ASC118,Paneer Pulao,Paneer pulao,asc_manual
9.16,ASC119,Peanut Pulao,Peanut pulao ,asc_manual
9.17,ASC120,Navratan Pulao,Navratan pulao,asc_manual
9.18,ASC121,Cholia Pulao,Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),asc_manual
9.19,ASC122,Mutton Biryani,Mutton biryani/biriyani,asc_manual
9.2,ASC123,Vegetable Biryani,Vegetable biryani/biriyani,asc_manual
9.21,ASC124,Lemon Rice,"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",asc_manual
9.22,ASC125,Sweet Rice,Sweet rice (Meethe chawal),asc_manual
9.23,ASC126,Curd Rice,Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),asc_manual
9.24,ASC127,Tamarind Rice,Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),asc_manual
9.25,ASC128,Spanish Rice,Spanish rice,asc_manual
9.26,ASC129,Chinese fried rice,Chinese fried rice,asc_manual
9.27,ASC130,Classic italian pasta,Classic italian pasta,asc_manual
9.28,ASC131,Pasta Spinach Sauce,Pasta spinach sauce,asc_manual
9.29,ASC132,Pasta Cheese sauce,Pasta cheese sauce,asc_manual
9.3,ASC133,Macroni cheese pie,Macroni cheese pie,asc_manual
9.31,ASC134,Vegetable Chowmein,Vegetable chowmein,asc_manual
9.32,ASC135,Chicken Chowmein,Chicken chowmein,asc_manual
9.33,ASC136,Cheese noodle ring,Cheese noodle ring,asc_manual
9.34,ASC137,Spaghetti and cheese balls in tomato sauce,Spaghetti and cheese balls in tomato sauce,asc_manual
9.35,ASC138,Penne platter,Penne platter,asc_manual
9.36,ASC139,Pasta hot pot,Pasta hot pot,asc_manual
9.37,ASC140,Chicken lasagne,Chicken lasagne,asc_manual
9.38,ASC141,Fettuccine with spinach sauce,Fettuccine with spinach sauce,asc_manual
9.39,ASC142,Naan,Naan,asc_manual
9.4,ASC143,BHATURA,Bhatura,asc_manual
9.41,ASC144,Idli,Idli,asc_manual
9.43,ASC146,Masala Dosa,Masala dosa,asc_manual
9.44,ASC147,Rava Dosa,Semolina dosa (Suji/Rava dosa),asc_manual
9.45,ASC148,Onion tomato Uttapam,Onion tomato uttapam,asc_manual
9.46,ASC149,Paneer kaathi Roll,Paneer kaathi roll,asc_manual
9.47,ASC150,Makki ki roti,Makki ki roti,asc_manual
10.1,ASC151,Washed Moong dal ,Washed moong dal (Dhuli moong ki dal),asc_manual
10.2,ASC152,Washed Urad dal,Washed urad dal (Dhuli urad ki dal),asc_manual
10.3,ASC153,Channa dal with ghia,Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),asc_manual
10.4,ASC154,Dry Washed Urad,Dry washed urad,asc_manual
10.5,ASC155,Mixed Dal,Mixed dal,asc_manual
10.6 a,ASC156,Whole Moong,Whole moong (Moong ki dal),asc_manual
10.6 b,ASC157,Whole Masoor,Whole masoor (Masoor ki dal),asc_manual
10.6 c,ASC158,Whole Moth,Whole moth (Moth ki dal),asc_manual
10.6 d,ASC159,Whole Urad,Whole urad (Urad ki dal),asc_manual
10.7,ASC160,Moti Mahal Dal,Moti mahal dal (Urad rajmah mix dal),asc_manual
10.8,ASC161,Black channa curry,Black channa curry/Bengal gram curry (Kale chane ki curry),asc_manual
10.8 a,ASC162,White Channa curry,Chickpeas curry (Safed channa curry),asc_manual
10.8 b,ASC163,Lobia curry,Lobia curry,asc_manual
10.8 c,ASC164,Soyabean curry,Soyabean curry,asc_manual
10.8 d,ASC165,Rajmah curry,Kidney bean curry (Rajmah curry),asc_manual
10.1,ASC167,Sambar,Sambar,asc_manual
10.11,ASC168,Kadhi,Besan kadhi with pakodies,asc_manual
10.12,ASC169,Khatta Channa,Khatta channa,asc_manual
10.13,ASC170,Sprouted pulse chat,Sprouted moong dal chat,asc_manual
11.1,ASC171,Aloo Gobhi,Potato cauliflower (Aloo gobhi),asc_manual
11.2,ASC172,Aloo capsicum,Potato capsicum (Shimla mirch aloo),asc_manual
11.3,ASC173,Cabbage and peas,Cabbage and peas (Pattagobhi aur matar),asc_manual
11.4,ASC174,Gajar methi,Carrot and fenugreek leaves (Gajar methi),asc_manual
11.5,ASC175,Alu Methi,Potato fenugreek (Aloo methi),asc_manual
11.7,ASC177,Brinjal Bhurtha,Brinjal bhartha (Baingan ka bhartha),asc_manual
11.8,ASC178,Dry Aloo,Dry potato (Sookhe aloo),asc_manual
11.9,ASC179,Beans with coconut,Beans with coconut (Nariyal aur sem/phali; Beans thoran),asc_manual
11.9 a,ASC180,Cauliflower with coconut,Cauliflower with coconut (Nariyal ke saath phoolgobhi),asc_manual
11.9 b,ASC181,Carrot and cabbage with coconut,Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),asc_manual
11.9 c,ASC182,Raw turnip with coconut,Raw turnip with coconut ,asc_manual
11.9 c,ASC183,Raw papaya with coconut,Raw papaya with coconut (Papaya thoran),asc_manual
11.1,ASC184,Stuffed bhindi,Stuffed okra (Bharwa bhindi),asc_manual
11.11,ASC185,Stuffed Tinda,Stuffed round gourd (Bharwa tinde),asc_manual
11.12,ASC186,Stuffed Capsicum,Stuffed capsicum (Bharwa shimla mirch),asc_manual
11.13,ASC187,Stuffed Brinjal,Stuffed brinjal (Bharwa baingan),asc_manual
11.15,ASC189,Stuffed Tomatoes,Stuffed tomatoes (Bharwa tamatar),asc_manual
11.16,ASC190,Pea Potato Curry,Pea potato curry (Aloo matar),asc_manual
11.16 a,ASC191,Pea Paneer curry,Pea paneer curry (Matar paneer),asc_manual
11.16 b,ASC192,Pea Mushroom curry,Pea mushroom curry (Matar mushroom),asc_manual
11.16 c,ASC193,Pea Curry,Pea curry (Matar ki sabzi),asc_manual
11.16 d,ASC194,Pea Vadi curry,Pea vadi curry,asc_manual
11.16 e,ASC195,Paneer Curry,Paneer curry,asc_manual
11.16 f,ASC196,Kamal kakdi curry,Lotus stem curry (Kamal kakdi curry),asc_manual
11.17,ASC197,Gravy for Kofta,Gravy for kofta,asc_manual
11.18,ASC198,Pea Kofta curry,Pea kofta curry (Matar kofta curry),asc_manual
11.19,ASC199,Spinach kofta curry,Spinach kofta curry (Palak kofta curry),asc_manual
11.2,ASC200,Paneer kofta curry,Paneer kofta curry,asc_manual
11.21,ASC201,Kamal kakri kofta curry,Lotus stem kofta curry (Kamal kakdi kofta curry),asc_manual
11.22,ASC202,Raw Banana Kofta Curry,Raw banana kofta curry (Kela kofta curry),asc_manual
11.23,ASC203,Cauliflower Kofta Curry,Cauliflower kofta curry (Phoolgobhi kofta curry),asc_manual
11.24,ASC204,Cabbage Kofta Curry,Cabbage kofta curry (Pattagobhi kofta curry),asc_manual
11.25,ASC205,Ghiya Kofta Curry,Ghiya/Lauki Kofta Curry,asc_manual
11.26,ASC206,Spinach Paneer Kofta Curry,Spinach paneer kofta curry (Palak paneer kofta curry),asc_manual
11.27,ASC207,Vegetarian Egg Kofta Curry,Vegetarian egg kofta curry,asc_manual
11.28,ASC208,Baked Vegetables,Baked vegetables,asc_manual
11.29,ASC209,Gobhi Musallam,Cauliflower musallam (Phoolgobhi musallam),asc_manual
11.3,ASC210,Baked Vegetable with spinach,Baked vegetables with spinach ,asc_manual
11.31,ASC211,Baked potato with skin,Baked potato with skin ,asc_manual
11.32,ASC212,Shepherd's Pie,Shepherd's pie (vegetarian),asc_manual
11.33,ASC213,Baked brinjal in tomato sauce,Baked brinjal in tomato sauce,asc_manual
11.34,ASC214,Dum Aloo,Dum aloo,asc_manual
11.35,ASC215,Palak Paneer,Spinach paneer (Palak paneer),asc_manual
11.36,ASC216,Methi Chaman,Methi chaman,asc_manual
11.37,ASC217,Sarson Ka Saag,Sarson ka saag,asc_manual
11.38,ASC218,Kathal sabzi,Jackfruit sabzi (Kathal ki sabzi),asc_manual
11.39,ASC219,Avial,Avial,asc_manual
11.4,ASC220,Ala Yakhani,Al yakhani,asc_manual
11.41,ASC221,Shahi Paneer,Shahi paneer,asc_manual
11.42,ASC222,Paneer in butter sauce,Paneer in butter sauce,asc_manual
11.43,ASC223,Methi Malai Paneer,Methi malai paneer,asc_manual
11.44,ASC224,Chilli paneer,Chilli paneer,asc_manual
11.45,ASC225,Paneer Makhana korma,Paneer makhana korma,asc_manual
11.46,ASC226,Kadai Paneer,Kadhai Paneer,asc_manual
12.1,ASC227,Roghan Josh,Roghan josh,asc_manual
12.2,ASC228,Palak Mutton,Spinach mutton (Palak mutton),asc_manual
12.3,ASC229,Pea Keema Curry,Pea keema curry (Matar keema ki sabzi),asc_manual
12.4,ASC230,Keema Kofta Curry,Keema kofta curry,asc_manual
12.5,ASC231,Gushtaba (Kashmiri Mutton Koftas),Kashmiri mutton koftas (Gushtaba),asc_manual
12.6,ASC232,Mutton Yakhni,Mutton yakhni,asc_manual
12.6 a,ASC233,Chicken Yakhni,Chicken yakhni,asc_manual
12.7,ASC234,Mutton Do Piaza,Mutton do piaza,asc_manual
12.9,ASC236,Mutton Chops,Mutton chops,asc_manual
12.1,ASC237,Shammi Kebab,Shammi kebab,asc_manual
12.11,ASC238,Scotch Egg,Scotch egg,asc_manual
12.13,ASC240,Chicken Curry,Chicken curry,asc_manual
12.14,ASC241,Tandoori Chicken,Tandoori chicken,asc_manual
12.15,ASC242,Butter Chicken,Butter chicken,asc_manual
12.16,ASC243,Chicken Kabab,Chicken kebab,asc_manual
12.17,ASC244,Chilli Chicken,Chilli chicken,asc_manual
12.18,ASC245,Fried Chicken with Tomato Sauce,Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),asc_manual
12.19,ASC246,Fish Curry,Fish curry (Machli curry),asc_manual
12.2,ASC247,Fried Fish (Indian Style),Fried fish (Indian style) (Tali hui machli),asc_manual
12.21,ASC248,Fried Fish and Chips (English Style),Fried fish and Chips (English Style) (Tali hui machli aur chips),asc_manual
12.22,ASC249,Tomato Fish,Tomato fish,asc_manual
12.23,ASC250,Baked Fish with Cheese Sauce,Baked fish with cheese sauce,asc_manual
12.24,ASC251,Fish Tikka,Fish tikka,asc_manual
12.25,ASC252,Tandoori Fish,Tandoori fish,asc_manual
13.1,ASC253,"Paneer, Apple and Pineapple Salad","Paneer, apple and pineapple salad",asc_manual
13.2,ASC254,Russian Salad,Russian salad,asc_manual
13.3,ASC255,Pasta Salad,Pasta salad,asc_manual
13.4,ASC256,Devilled Egg,Deviled egg,asc_manual
13.5,ASC257,Hawain Salad,Hawain salad,asc_manual
13.6,ASC258,Mixed Pulse and vegetable salad,Mixed pulse and vegetable salad,asc_manual
13.7,ASC259,Sprouted Moong salad,Sprouted moong salad ,asc_manual
13.8,ASC260,Tossed Salad,Tossed salad,asc_manual
13.9,ASC261,Mixed Vegetable salad with Curd Sauce,Mixed vegetable salad with curd sauce,asc_manual
13.1,ASC262,Potato Salad,Potato salad (Aloo ka salaad),asc_manual
13.11,ASC263,Waldroff Salad,Waldroff salad,asc_manual
13.12,ASC264,Coleslaw,Coleslaw,asc_manual
13.13,ASC265,Fruit Salad,Fruit salad (Phalon ka salaad),asc_manual
13.14,ASC266,Mayonnaise,Mayonnaise,asc_manual
13.15,ASC267,Low Calorie Quick Mayonnaise,Low calorie quick mayonnaise,asc_manual
13.16,ASC268,Thousand Island Dressing,Thousand island dressing,asc_manual
13.17,ASC269,Tomato Onion Raita,Tomato onion raita (Tamatar aur pyaaz ka raita),asc_manual
13.17 a,ASC270,Peanut Raita,Peanut raita (Mungfali ka raita),asc_manual
13.17 b,ASC271,Sprouted Moong Raita,Sprouted moong raita ,asc_manual
13.17 c,ASC272,Lauki Raita,Bottle gourd raita (Ghiya/Lauki ka raita),asc_manual
13.17 d,ASC273,Cucumber Raita,Cucumber raita (Kheere ka raita),asc_manual
13.17 e,ASC274,Carrot and Spinach Raita,Carrot and spinach raita (Gajar aur palak ka raita),asc_manual
13.17 f,ASC275,Mint Raita,Mint raita (Pudinay ka raita),asc_manual
13.17 g,ASC276,Potato Raita,Potato raita (Aloo ka raita),asc_manual
13.18,ASC277,Boondi Raita,Boondi raita,asc_manual
13.19,ASC278,Sweet Raita,Sweet raita (Meetha raita),asc_manual
13.2,ASC279,Dahi Vadas,Dahi vadas/Dahi bhalla,asc_manual
13.21,ASC280,Gunjia,Gunjia,asc_manual
13.22,ASC281,Saunth,Saunth/Sonth chutney with tamarind/imli,asc_manual
14.1,ASC282,Rice Kheer,Rice kheer (Chawal ki kheer),asc_manual
14.2,ASC283,Makhana Kheer,Makhana kheer,asc_manual
14.3,ASC285,Vermicelli Kheer,Vermicelli kheer (Semiya/Seviyan ki kheer),asc_manual
14.4,ASC286,Semolina Kheer,Semolina kheer (Suji/Rava kheer),asc_manual
14.5,ASC287,Paneer Kheer,Paneer kheer,asc_manual
14.6,ASC288,Cabbage Kheer,Cabbage kheer (Pattagobhi ki kheer),asc_manual
14.7,ASC289,Carrot Kheer,Carrot kheer (Gajar ki kheer),asc_manual
14.8,ASC290,Cauliflower Kheer,Cauliflower kheer (Phoolgobhi ki kheer),asc_manual
14.9,ASC291,Moong Dal Kheer,Moong dal kheer,asc_manual
14.1,ASC292,Phirni,Phirni,asc_manual
14.11,ASC293,Suji Halwa,Semolina halwa (Suji ka halwa),asc_manual
14.12,ASC294,Shahi Suji Halwa,Shahi suji halwa,asc_manual
14.13,ASC295,Carrot Halwa,Carrot halwa (Gajar ka halwa),asc_manual
14.14,ASC296,Egg Halwa,Egg halwa (Ande ka halwa),asc_manual
14.15,ASC297,Potato Halwa,Potato halwa (Aloo ka halwa),asc_manual
14.16,ASC298,Pumpkin Halwa,Pumpkin halwa (Kaddu ka halwa),asc_manual
14.17,ASC299,Moong Dal Halwa,Moong dal halwa,asc_manual
14.18,ASC300,Steamed Caramel Custard,Caramel custard (steamed),asc_manual
14.19,ASC301,Baked Custard,Baked custard,asc_manual
14.2,ASC302,Soft Custard (stirred),Soft Custard (stirred),asc_manual
14.21 a,ASC304,Chocolate Ice Cream,Chocolate ice cream,asc_manual
14.21 b,ASC305,Mango Ice Cream,Mango ice cream,asc_manual
14.23,ASC307,Fruit Ice Cream,Fruit Ice cream (Phalon ka Ice cream),asc_manual
14.24,ASC308,Caramel Ice Cream,Caramel ice cream,asc_manual
14.25,ASC309,Lemon Souffle,Lemon souffle,asc_manual
14.25 a,ASC310,Orange Souffle,Orange souffle,asc_manual
14.25 b,ASC311,Vanilla Souffle,Vanilla souffle,asc_manual
14.25 c,ASC312,Chocolate Souffle,Chocolate souffle,asc_manual
14.25 d,ASC313,Pineapple Souffle,Pineapple souffle ,asc_manual
14.26,ASC314,Apple Mousse,Apple mousse,asc_manual
14.27,ASC315,Rich Chocolate Mousse,Rich chocolate mousse,asc_manual
14.28,ASC316,Mango Mousse,Mango mousse,asc_manual
14.29,ASC317,Orange and Pineapple Cream,Orange and pineapple cream,asc_manual
14.3,ASC318,Charlotte Rousse,Charlotte rousse,asc_manual
14.31,ASC319,Triffle Pudding,Triffle pudding,asc_manual
14.32,ASC320,Snow Flakes Pudding,Snow flakes pudding,asc_manual
14.33,ASC321,Kulfi,Kulfi,asc_manual
14.34,ASC322,Steamed Orange Pudding,Steamed orange pudding,asc_manual
14.35,ASC323,Meringue and Rice Pudding,Meringue and rice pudding,asc_manual
14.36,ASC324,Cheese Pudding,Cheese pudding,asc_manual
14.37,ASC325,Chocolate Pudding,Chocolate pudding,asc_manual
14.38,ASC326,Bread and Butter Pudding,Bread and butter pudding ,asc_manual
14.39,ASC327,Queen Of Pudding,Queen of pudding,asc_manual
14.4,ASC328,Pineapple Upside Down Pudding,Pineapple upside down pudding,asc_manual
14.41,ASC329,Date and Nut Pie,Date and nut pie,asc_manual
14.42,ASC330,Stewed Apple with Custard,Stewed apple with custard,asc_manual
14.43,ASC331,Apple Snowballs,Apple snowballs,asc_manual
14.44,ASC332,Hot Orange Souffle,Hot orange souffle,asc_manual
14.44 a,ASC333,Hot Chocolate Souffle,Hot chocolate souffle,asc_manual
14.44 b,ASC334,Hot Vanilla Souffle,Hot vanilla souffle,asc_manual
15.1,ASC335,Plain Burfi,Plain burfi (Burfi),asc_manual
15.2,ASC336,Coconut Burfi,Coconut burfi (Nariyal ki burfi),asc_manual
15.3,ASC337,Ghia Burfi,Bottle gourd burfi (Ghiya/Lauki burfi),asc_manual
15.4,ASC338,Chocolate Burfi,Chocolate burfi,asc_manual
15.5,ASC339,Kaju Burfi,Cashewnut burfi (Kaju burfi/Kaju katli),asc_manual
15.6,ASC340,Besan Burfi,Gram flour burfi (Besan burfi),asc_manual
15.7,ASC341,Suji Ladoo with Khoya,Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),asc_manual
15.8,ASC342,Suji Ladoo with Coconut,Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),asc_manual
15.9,ASC343,Besan Ladoo,Gram flour ladoo (Besan ladoo),asc_manual
15.1,ASC344,Til Ladoo,Sesame ladoo (Til ke ladoo),asc_manual
15.11,ASC345,Chenna Murki,Chenna murki,asc_manual
15.12,ASC346,Milk Cake,Milk cake,asc_manual
15.13,ASC347,Gujia/Lavang latika,Ghujia/Lavang latika,asc_manual
15.14,ASC348,Gulab Jamun,Gulab Jamun with khoya,asc_manual
15.15,ASC349,Mal Pura,Mal pua,asc_manual
15.16,ASC350,Shahi Tukre,Shahi tukre,asc_manual
16.1,ASC351,Potato Pakoda,Potato pakora/pakoda (Aloo pakoda),asc_manual
16.1 a,ASC352,Onion Pakora,Onion pakora/pakoda (Pyaaz ke pakode),asc_manual
16.1 b,ASC353,Cauliflower Pakoras,Cauliflower pakora/pakoda (Phoolgobhi ke pakode),asc_manual
16.1 c,ASC354,Mixed Vegetable Pakoras,Mixed vegetable pakora/pakoda,asc_manual
16.1 d.1,ASC355,Spinach Pakoras,Spinach pakora/pakoda (Palak pakoda),asc_manual
16.1 d.2,ASC356,Methi Pakoras,Methi pakora/pakoda (Methi ke pakode),asc_manual
16.1 e,ASC357,Egg Pakoras,Egg pakora/pakoda (Ande ke pakode),asc_manual
16.1 f,ASC358,Bread Pakoras,Bread pakora/pakoda,asc_manual
16.2,ASC359,Paneer Pakoras,Paneer pakora/pakoda,asc_manual
16.3,ASC360,Potato Bonda,Potato bonda (Aloo bonda),asc_manual
16.4 a,ASC361,Samosa - Potato Filling,Potato samosa (Aloo ka samosa),asc_manual
16.4 b,ASC362,Samosa - Keema Filling,Minced meat samosa (Keema ka samosa),asc_manual
16.4 c,ASC363,Samosa - Paneer and Pea Filling,Paneer and pea samosa (Paneer matar ka samosa),asc_manual
16.5,ASC364,Mathri,Mathri,asc_manual
16.6,ASC365,Khasta Kachori,Khasta kachori,asc_manual
16.7,ASC366,Vegetable Cutlet,Vegetable cutlet,asc_manual
